tag,path,Unnamed: 0,Unnamed: 0.1,CC,SAC,XMLD,delta_t,project_created_at,project_name,tag_date
broadleaf-1.6.0-M2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-1.6.0-M2,2374,2374,1,1,1,3097421.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-03-28 20:57:41
broadleaf-1.6.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-1.6.0-GA,2376,2376,1,1,1,2781711.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-04-30 21:00:10
broadleaf-1.6.1-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-1.6.1-GA,2378,2378,1,1,1,3164633.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-06-06 17:32:38
broadleaf-2.0.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.0-GA,2380,2380,1,1,1,5050004.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-09-28 20:55:14
broadleaf-2.0.1-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.1-GA,2381,2381,1,1,1,677985.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-10-06 17:14:59
broadleaf-1.6.2-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-1.6.2-GA,2382,2382,1,1,1,625801.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-10-13 23:05:00
broadleaf-2.0.2-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.2-GA,2383,2383,1,1,1,2329038.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-11-09 22:02:18
broadleaf-2.1.0-RC1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.1.0-RC1,2384,2384,1,1,1,1654713.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-11-29 01:40:51
broadleaf-2.0.3-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.3-GA,2385,2385,1,1,1,414449.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-12-03 20:48:20
broadleaf-2.1.0-RC2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.1.0-RC2,2386,2386,1,1,1,1225.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-12-03 21:08:45
broadleaf-2.1.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.1.0-GA,2387,2387,1,1,1,337430.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-12-07 18:52:35
broadleaf-2.0.4-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.4-GA,2388,2388,1,1,1,6775.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2012-12-07 20:45:30
broadleaf-2.2.0-RC1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.2.0-RC1,2389,2389,1,1,1,2247964.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-01-02 21:11:34
broadleaf-2.0.5-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.5-GA,2390,2390,1,1,1,7397.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-01-02 23:14:51
broadleaf-2.1.1-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.1.1-GA,2391,2391,1,1,1,1229.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-01-02 23:35:20
1.6.0-GA-Support,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/1.6.0-GA-Support,2392,2392,1,1,1,595833.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-01-09 21:05:53
